                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 2.2875,                 1.2474,                 1.3669,                 0.6117,                0.26754,                0.23633,                0.09257,                 2.3514,                 1.8164,                 1.4947,               0.003367,               0.003367,               0.003367
                     69,                  2.277,                 1.2268,                 1.3332,                0.61954,                0.26369,                0.24125,                0.09636,                 2.3245,                  1.727,                 1.4813,               0.003268,               0.003268,               0.003268
                     70,                 2.2428,                 1.2127,                 1.3372,                0.62061,                0.27283,                0.24412,                0.09981,                 2.2495,                 1.7473,                 1.4762,               0.003169,               0.003169,               0.003169
                     71,                 2.2561,                 1.2062,                 1.3387,                0.62161,                0.28646,                0.24502,                0.09621,                  2.438,                  1.879,                 1.4901,                0.00307,                0.00307,                0.00307
                     72,                  2.281,                 1.2331,                 1.3423,                0.64551,                0.24436,                0.24122,                0.09398,                 2.3752,                 1.7062,                 1.4761,               0.002971,               0.002971,               0.002971
                     73,                 2.2558,                 1.2294,                 1.3465,                0.59469,                0.26165,                 0.2302,                0.09569,                 2.2505,                 1.7665,                 1.4249,               0.002872,               0.002872,               0.002872
                     74,                 2.2593,                  1.222,                 1.3401,                0.62925,                0.27657,                 0.2464,                0.10099,                 2.2136,                 1.7522,                 1.4441,               0.002773,               0.002773,               0.002773
                     75,                 2.2481,                 1.2272,                 1.3412,                0.62016,                0.27518,                0.24278,                 0.0963,                 2.2004,                 1.6291,                 1.4028,               0.002674,               0.002674,               0.002674
                     76,                 2.2652,                 1.2272,                 1.3189,                0.64537,                0.26512,                0.24723,                0.10322,                 2.1507,                  1.647,                 1.3902,               0.002575,               0.002575,               0.002575
                     77,                  2.218,                 1.2128,                 1.3658,                0.29139,                0.26768,                0.23973,                0.09893,                 2.3792,                 1.8953,                 1.4648,               0.002476,               0.002476,               0.002476
                     78,                 2.2005,                 1.2274,                 1.3668,                0.67005,                0.25034,                0.24831,                0.10166,                 2.2321,                  1.631,                  1.413,               0.002377,               0.002377,               0.002377
                     79,                 2.2465,                 1.2457,                 1.3537,                0.27443,                0.28237,                 0.2454,                0.10094,                 2.3901,                 1.7956,                 1.4849,               0.002278,               0.002278,               0.002278
                     80,                  2.211,                 1.2226,                 1.3505,                0.65241,                0.25726,                0.24955,                0.10451,                 2.1924,                 1.6805,                 1.4029,               0.002179,               0.002179,               0.002179
                     81,                 2.2165,                 1.2367,                 1.3715,                0.59959,                0.26463,                0.23259,                0.09892,                 2.2111,                 1.7038,                 1.4202,                0.00208,                0.00208,                0.00208
                     82,                 2.2776,                 1.2782,                 1.3873,                0.62833,                0.27397,                0.24472,                0.09928,                 2.2869,                 1.7997,                 1.4163,               0.001981,               0.001981,               0.001981
                     83,                 2.2145,                 1.2188,                 1.3286,                0.61154,                0.27321,                0.24719,                0.10296,                 2.2178,                 1.7984,                 1.4486,               0.001882,               0.001882,               0.001882
                     84,                 2.2186,                 1.1875,                 1.3179,                0.63467,                0.27703,                0.24544,                0.10282,                 2.1938,                 1.8374,                 1.4087,               0.001783,               0.001783,               0.001783
                     85,                 2.2061,                 1.2222,                 1.3751,                0.63544,                0.26793,                0.23859,                0.09861,                 2.1989,                 1.8346,                 1.4126,               0.001684,               0.001684,               0.001684
                     86,                 2.2358,                 1.1993,                 1.3029,                0.68354,                0.25285,                0.24728,                0.10353,                 2.1951,                  1.751,                 1.4212,               0.001585,               0.001585,               0.001585
                     87,                 2.2248,                  1.189,                 1.3077,                0.28265,                0.26483,                0.24564,                0.10291,                 2.1749,                 1.9756,                 1.3838,               0.001486,               0.001486,               0.001486
                     88,                 2.2149,                 1.2174,                 1.3532,                0.69264,                0.25635,                0.25578,                 0.1044,                   2.16,                 1.7652,                  1.398,               0.001387,               0.001387,               0.001387
                     89,                 2.2255,                 1.1988,                 1.3389,                0.62643,                0.27833,                0.25218,                0.10429,                  2.165,                 1.7703,                 1.4088,               0.001288,               0.001288,               0.001288
                     90,                 2.1747,                 1.3127,                 1.3528,                0.29471,                0.28041,                 0.2482,                0.10411,                 2.1411,                 1.6834,                 1.3947,               0.001189,               0.001189,               0.001189
                     91,                 2.1443,                  1.279,                 1.3626,                0.28468,                0.27191,                0.23505,                0.09572,                  2.174,                 1.6949,                 1.3982,                0.00109,                0.00109,                0.00109
                     92,                 2.1235,                 1.2541,                 1.3487,                0.27108,                0.25692,                0.23052,                0.09913,                 2.1332,                 1.8061,                 1.3889,               0.000991,               0.000991,               0.000991
                     93,                 2.1059,                 1.2364,                 1.3322,                0.28145,                0.27386,                0.24049,                0.10321,                 2.0788,                 1.8267,                 1.3657,               0.000892,               0.000892,               0.000892
                     94,                  2.117,                 1.2268,                 1.3513,                0.62201,                0.28009,                0.24425,                0.10493,                  2.004,                 1.7152,                 1.3401,               0.000793,               0.000793,               0.000793
                     95,                  2.081,                 1.2023,                 1.3188,                0.32526,                0.25796,                0.25107,                0.10479,                 2.0117,                 1.6106,                 1.3413,               0.000694,               0.000694,               0.000694
                     96,                 2.0782,                 1.2005,                 1.3449,                0.33516,                0.26243,                0.25038,                0.10542,                 2.0739,                 1.6876,                 1.3482,               0.000595,               0.000595,               0.000595
                     97,                 2.0975,                  1.214,                 1.3423,                0.27818,                0.27387,                0.24586,                0.10551,                 2.1352,                 1.9372,                 1.3892,               0.000496,               0.000496,               0.000496
                     98,                 2.1105,                 1.2813,                 1.3408,                0.30216,                 0.2597,                0.24609,                0.10558,                 2.1159,                 1.8533,                  1.371,               0.000397,               0.000397,               0.000397
                     99,                 2.0592,                 1.2071,                 1.3623,                0.31564,                0.26157,                0.24607,                0.10429,                 2.1113,                 1.8094,                 1.3703,               0.000298,               0.000298,               0.000298
